cusip
02665T306
163086101
243537107
247361702
278768106
35137L105
43283X105
530307305
65249B109
668771108
902973304
92552R406
N00985106
112463104
22564L105
55608B105
82669G104
989701107
36164Y101
501797104
952845105
070830104
24703L202
88337F105
92047W101
23331A109
553530106
95082P105
552690109
78468R556
G3421J106
21037T109
44891N208
65249B208
88033G407
498894104
G0750C108
40412C101
464287655
512816109
151290889
531229722
546347105
83001A102
958102105
31488V107
78463V107
83001C108
G3643J108
143658300
49456B101
G66721104
165167735
21874A106
23345M107
46438F101
82982L103
02079K107
03662Q105
192446102
194162103
303250104
518439104
571903202
61166W101
615369105
654106103
74005P104
92826C839
949746101
G0176J109
N22717107
N3167Y103
398438408
412822108
02319V103
278865100
12572Q105
913017109
28176E108
025816109
742718109
G5494J103
92345Y106
98978V103
H01301128
M22465104
00724F101
09857L108
278642103
68902V107
45866F104
883556102
904311107
761152107
25243Q205
294429105
55087P104
72352L106
16119P108
G1151C101
256677105
461202103
594918104
217204106
911363109
571748102
G54950103
127387108
369604301
934550203
941848103
55354G100
032654105
023135106
136375102
099502106
452327109
79466L302
13646K108
17275R102
57636Q104
067774109
06777U101
18451C109
354613101
37951D102
492515101
563568104
60935Y208
66704R803
66705Y104
684000102
87244T109
88732J207
92719A106
959802109
N47279109
67551U105
023586100
747545101
87160A100
887317303
G96629103
19625W104
91822M106
949090104
021346101
14575E105
864482104
043436104
398905109
67103H107
881624209
69331C108
00817Y108
02079K305
30219G108
536797103
00972D105
13462K109
82481R106
30303M102
L7257P205
151020104
67551U204
18453H106
89377M109
811246107
110122157
67098H104
G0177J108
29273V100
893641100
15912K100
67080N101
90328S500
138103106
22266T109
88023U101
90343D108
90355N101
023586506
G46188101
53947R105
172573107
011659109
01748X102
02376R102
22943F100
290138205
30212P303
443573100
741503403
74624M102
87336U105
910047109
98954M101
98954M200
64110L106
67059N108
70450Y103
852234103
90138F102
985817105
01609W102
053774105
146869102
679295105
896945201
625207105
89686D105
056752108
226718104
60937P106
848577102
88160R101
26210C104
46267X108
88106RAC5
94419L101
44919P508
98138H101
G68707101
P31076105
0G6672104
590479135
722304102
67066G104
830879102
848574109
N14506104
88160RAC5
22788C105
400110102
75321W103
90353T100
00183L102
23804L103
268150109
30744W107
70614W100
V7780T103
81762P102
81141R100
860897107
92918V109
98980L101
82509L107
833445109
91332U101
G28302126
009066101
22266L106
25809K105
683712103
G0370L124
G28302100
G28302118
037833100
12047B105
25402D102
687793109
747601201
771049103
12510Q100
12510Q118
20717M103
25862V105
70451X104
83406F102
90138Q108
90364P105
M7S64H106
001176213
26603R106
60938K106
888787108
G0370L108
G2007L105
10576N102
126677103
37637K108
418100103
79589L106
G0370L116
21240E105
58733R102
04626A103
11135F101
19247G107
032095101
781154109
94845U105
36118L106
500767306
53566V106
874039100
565394103
595112103
81764X103
042068205
21873S108
46090E103
770700102
78781J109
36866J105
64119N608
70339W104
871607107
093712107
00162Q866
020002101
03674X106
060505104
127097103
184692101
203668108
29273R109
37045V100
37045V118
37045V126
382550101
40416M105
405217100
447011107
486606106
49456B119
608190104
690742101
693506107
717081103
73935A104
75281A109
78462F103
844741108
845467109
87165B103
88104M101
88104R100
896818101
90130A101
90130A200
91911K102
92936P100
963320106
96949L105
G00349103
G47791101
N6596X109
Y8565J101
74909E106
912008109
G0751N103
172967424
174610105
24703L103
693475105
747525103
928563402
984332106
039380407
03938L104
101137107
110122108
15135B101
200340107
489170100
58155Q103
708160106
7591EP100
767204100
86614U100
878742204
912909108
N59465109
001547108
124857202
670346105
83304A106
871503108
91324P102
00507V109
00771V108
02005N100
165167107
29278N103
464287556
629377508
704551100
78464A870
81369Y209
863667101
038222105
704551407
81369Y605
983793100
126408103
127686103
127686AA1
16411R208
20030N101
464287234
552953101
78464A730
81369Y506
872590104
88104R209
92840M102
G9329Z100
103304101
499049104
512807108
72766Q105
92189F676
H42097107
493267108
647581107
857477103
969457100
62482R107
18539C105
18539C204
444859102
L5140P101
097023105
11135F200
45790VAB6
46138G508
81369Y886
85207U105
